;  >>> GROUND LAYOUT <<<
;====================================================================================================
;GND FILES
;
; >>> EKCH - København Kastrup <<<
;
; RWY outer markings
N055.36.41.701 E012.37.59.790 N055.36.41.921 E012.37.59.831 COLOR_HardSurface1 ; A5
N055.36.41.921 E012.37.59.831 N055.36.42.305 E012.37.59.810 COLOR_HardSurface1 ; A5
N055.36.42.305 E012.37.59.810 N055.36.45.024 E012.37.59.484 COLOR_HardSurface1 ; A5
N055.36.45.024 E012.37.59.484 N055.36.49.007 E012.37.59.041 COLOR_HardSurface1 ; A5
N055.36.49.007 E012.37.59.041 N055.36.49.185 E012.37.59.058 COLOR_HardSurface1 ; A5
N055.36.49.185 E012.37.59.058 N055.36.49.309 E012.37.59.093 COLOR_HardSurface1 ; A5
N055.36.49.309 E012.37.59.093 N055.36.49.419 E012.37.59.154 COLOR_HardSurface1 ; A5
N055.36.49.419 E012.37.59.154 N055.36.49.625 E012.37.59.309 COLOR_HardSurface1 ; A5
N055.36.49.625 E012.37.59.309 N055.36.49.776 E012.37.59.477 COLOR_HardSurface1 ; A5
N055.36.49.776 E012.37.59.477 N055.36.49.886 E012.37.59.625 COLOR_HardSurface1 ; A5
;
;
N055.36.24.040 E012.37.33.182 N055.36.25.688 E012.37.35.730 COLOR_HardSurface1 ; A6
N055.36.25.688 E012.37.35.730 N055.36.26.238 E012.37.36.519 COLOR_HardSurface1 ; A6
N055.36.26.238 E012.37.36.519 N055.36.26.801 E012.37.37.292 COLOR_HardSurface1 ; A6
N055.36.26.801 E012.37.37.292 N055.36.27.281 E012.37.37.882 COLOR_HardSurface1 ; A6
N055.36.27.281 E012.37.37.882 N055.36.27.652 E012.37.38.311 COLOR_HardSurface1 ; A6
N055.36.27.652 E012.37.38.311 N055.36.28.037 E012.37.38.740 COLOR_HardSurface1 ; A6
N055.36.28.037 E012.37.38.740 N055.36.28.421 E012.37.39.135 COLOR_HardSurface1 ; A6
N055.36.28.421 E012.37.39.135 N055.36.28.833 E012.37.39.540 COLOR_HardSurface1 ; A6
N055.36.28.833 E012.37.39.540 N055.36.29.259 E012.37.39.952 COLOR_HardSurface1 ; A6
N055.36.29.259 E012.37.39.952 N055.36.29.685 E012.37.40.306 COLOR_HardSurface1 ; A6
N055.36.29.685 E012.37.40.306 N055.36.30.138 E012.37.40.673 COLOR_HardSurface1 ; A6
N055.36.30.138 E012.37.40.673 N055.36.30.550 E012.37.40.989 COLOR_HardSurface1 ; A6
N055.36.30.550 E012.37.40.989 N055.36.31.030 E012.37.41.326 COLOR_HardSurface1 ; A6
N055.36.31.030 E012.37.41.326 N055.36.31.497 E012.37.41.628 COLOR_HardSurface1 ; A6
N055.36.31.497 E012.37.41.628 N055.36.32.143 E012.37.42.009 COLOR_HardSurface1 ; A6
N055.36.32.143 E012.37.42.009 N055.36.32.610 E012.37.42.246 COLOR_HardSurface1 ; A6
N055.36.32.610 E012.37.42.246 N055.36.33.077 E012.37.42.476 COLOR_HardSurface1 ; A6
N055.36.33.077 E012.37.42.476 N055.36.33.585 E012.37.42.692 COLOR_HardSurface1 ; A6
N055.36.33.585 E012.37.42.692 N055.36.34.491 E012.37.43.008 COLOR_HardSurface1 ; A6
N055.36.34.491 E012.37.43.008 N055.36.38.611 E012.37.44.457 COLOR_HardSurface1 ; A6
N055.36.38.611 E012.37.44.457 N055.36.39.050 E012.37.44.642 COLOR_HardSurface1 ; A6
N055.36.39.050 E012.37.44.642 N055.36.39.490 E012.37.44.859 COLOR_HardSurface1 ; A6
N055.36.39.490 E012.37.44.859 N055.36.39.984 E012.37.45.181 COLOR_HardSurface1 ; A6
N055.36.39.984 E012.37.45.181 N055.36.40.396 E012.37.45.504 COLOR_HardSurface1 ; A6
N055.36.40.396 E012.37.45.504 N055.36.40.808 E012.37.45.899 COLOR_HardSurface1 ; A6
N055.36.40.808 E012.37.45.899 N055.36.41.165 E012.37.46.280 COLOR_HardSurface1 ; A6
N055.36.41.165 E012.37.46.280 N055.36.41.509 E012.37.46.702 COLOR_HardSurface1 ; A6
N055.36.41.509 E012.37.46.702 N055.36.41.838 E012.37.47.173 COLOR_HardSurface1 ; A6
;
;
N055.36.11.818 E012.37.14.289 N055.36.12.972 E012.37.16.067 COLOR_HardSurface1 ; A7
N055.36.12.972 E012.37.16.067 N055.36.13.521 E012.37.16.912 COLOR_HardSurface1 ; A7
N055.36.13.521 E012.37.16.912 N055.36.14.070 E012.37.17.719 COLOR_HardSurface1 ; A7
N055.36.14.070 E012.37.17.719 N055.36.14.455 E012.37.18.224 COLOR_HardSurface1 ; A7
N055.36.14.455 E012.37.18.224 N055.36.14.839 E012.37.18.732 COLOR_HardSurface1 ; A7
N055.36.14.839 E012.37.18.732 N055.36.15.238 E012.37.19.212 COLOR_HardSurface1 ; A7
N055.36.15.238 E012.37.19.212 N055.36.15.636 E012.37.19.655 COLOR_HardSurface1 ; A7
N055.36.15.636 E012.37.19.655 N055.36.16.048 E012.37.20.112 COLOR_HardSurface1 ; A7
N055.36.16.048 E012.37.20.112 N055.36.16.460 E012.37.20.531 COLOR_HardSurface1 ; A7
N055.36.16.460 E012.37.20.531 N055.36.16.885 E012.37.20.946 COLOR_HardSurface1 ; A7
N055.36.16.885 E012.37.20.946 N055.36.17.311 E012.37.21.324 COLOR_HardSurface1 ; A7
N055.36.17.311 E012.37.21.324 N055.36.17.751 E012.37.21.691 COLOR_HardSurface1 ; A7
N055.36.17.751 E012.37.21.691 N055.36.18.190 E012.37.22.034 COLOR_HardSurface1 ; A7
N055.36.18.190 E012.37.22.034 N055.36.18.671 E012.37.22.381 COLOR_HardSurface1 ; A7
N055.36.18.671 E012.37.22.381 N055.36.19.522 E012.37.22.944 COLOR_HardSurface1 ; A7
N055.36.19.522 E012.37.22.944 N055.36.20.099 E012.37.23.267 COLOR_HardSurface1 ; A7
N055.36.20.099 E012.37.23.267 N055.36.20.442 E012.37.23.449 COLOR_HardSurface1 ; A7
N055.36.20.442 E012.37.23.449 N055.36.20.909 E012.37.23.669 COLOR_HardSurface1 ; A7
N055.36.20.909 E012.37.23.669 N055.36.21.610 E012.37.23.954 COLOR_HardSurface1 ; A7
N055.36.21.610 E012.37.23.954 N055.36.22.351 E012.37.24.208 COLOR_HardSurface1 ; A7
N055.36.22.351 E012.37.24.208 N055.36.26.128 E012.37.25.526 COLOR_HardSurface1 ; A7
;
;
N055.36.03.427 E012.36.52.327 N055.36.03.345 E012.36.52.200 COLOR_HardSurface1 ; A8
N055.36.03.345 E012.36.52.200 N055.36.03.208 E012.36.52.059 COLOR_HardSurface1 ; A8
N055.36.03.208 E012.36.52.059 N055.36.03.029 E012.36.51.925 COLOR_HardSurface1 ; A8
N055.36.03.029 E012.36.51.925 N055.36.02.837 E012.36.51.829 COLOR_HardSurface1 ; A8
N055.36.02.837 E012.36.51.829 N055.36.02.617 E012.36.51.791 COLOR_HardSurface1 ; A8
N055.36.02.617 E012.36.51.791 N055.36.02.438 E012.36.51.801 COLOR_HardSurface1 ; A8
N055.36.02.438 E012.36.51.801 N055.36.02.274 E012.36.51.867 COLOR_HardSurface1 ; A8
N055.36.02.274 E012.36.51.867 N055.36.02.081 E012.36.51.983 COLOR_HardSurface1 ; A8
N055.36.02.081 E012.36.51.983 N055.36.01.903 E012.36.52.128 COLOR_HardSurface1 ; A8
N055.36.01.903 E012.36.52.128 N055.36.01.697 E012.36.52.385 COLOR_HardSurface1 ; A8
N055.36.01.697 E012.36.52.385 N055.36.01.628 E012.36.52.509 COLOR_HardSurface1 ; A8
N055.36.01.628 E012.36.52.509 N055.36.00.832 E012.36.54.109 COLOR_HardSurface1 ; A8
N055.36.00.832 E012.36.54.109 N055.36.00.681 E012.36.54.459 COLOR_HardSurface1 ; A8
N055.36.00.681 E012.36.54.459 N055.36.00.585 E012.36.54.805 COLOR_HardSurface1 ; A8
N055.36.00.585 E012.36.54.805 N055.36.00.516 E012.36.55.228 COLOR_HardSurface1 ; A8
N055.36.00.516 E012.36.55.228 N055.36.00.488 E012.36.55.678 COLOR_HardSurface1 ; A8
N055.36.00.488 E012.36.55.678 N055.36.00.516 E012.36.56.110 COLOR_HardSurface1 ; A8
N055.36.00.516 E012.36.56.110 N055.36.00.571 E012.36.56.471 COLOR_HardSurface1 ; A8
N055.36.00.571 E012.36.56.471 N055.36.00.681 E012.36.56.879 COLOR_HardSurface1 ; A8
N055.36.00.681 E012.36.56.879 N055.36.00.804 E012.36.57.219 COLOR_HardSurface1 ; A8
N055.36.00.804 E012.36.57.219 N055.36.00.997 E012.36.57.538 COLOR_HardSurface1 ; A8
N055.36.00.997 E012.36.57.538 N055.36.02.397 E012.36.59.712 COLOR_HardSurface1 ; A8
;
;
N055.35.47.607 E012.36.27.865 N055.35.47.470 E012.36.27.697 COLOR_HardSurface1 ; A9
N055.35.47.470 E012.36.27.697 N055.35.47.346 E012.36.27.587 COLOR_HardSurface1 ; A9
N055.35.47.346 E012.36.27.587 N055.35.47.209 E012.36.27.498 COLOR_HardSurface1 ; A9
N055.35.47.209 E012.36.27.498 N055.35.47.058 E012.36.27.419 COLOR_HardSurface1 ; A9
N055.35.47.058 E012.36.27.419 N055.35.46.907 E012.36.27.371 COLOR_HardSurface1 ; A9
N055.35.46.907 E012.36.27.371 N055.35.46.742 E012.36.27.357 COLOR_HardSurface1 ; A9
N055.35.46.742 E012.36.27.357 N055.35.46.591 E012.36.27.377 COLOR_HardSurface1 ; A9
N055.35.46.591 E012.36.27.377 N055.35.46.426 E012.36.27.439 COLOR_HardSurface1 ; A9
N055.35.46.426 E012.36.27.439 N055.35.46.234 E012.36.27.546 COLOR_HardSurface1 ; A9
N055.35.46.234 E012.36.27.546 N055.35.46.055 E012.36.27.707 COLOR_HardSurface1 ; A9
N055.35.46.055 E012.36.27.707 N055.35.45.877 E012.36.27.954 COLOR_HardSurface1 ; A9
N055.35.45.877 E012.36.27.954 N055.35.45.712 E012.36.28.263 COLOR_HardSurface1 ; A9
N055.35.45.712 E012.36.28.263 N055.35.45.025 E012.36.29.650 COLOR_HardSurface1 ; A9
N055.35.45.025 E012.36.29.650 N055.35.44.874 E012.36.29.987 COLOR_HardSurface1 ; A9
N055.35.44.874 E012.36.29.987 N055.35.44.778 E012.36.30.382 COLOR_HardSurface1 ; A9
N055.35.44.778 E012.36.30.382 N055.35.44.709 E012.36.30.783 COLOR_HardSurface1 ; A9
N055.35.44.709 E012.36.30.783 N055.35.44.682 E012.36.31.195 COLOR_HardSurface1 ; A9
N055.35.44.682 E012.36.31.195 N055.35.44.696 E012.36.31.600 COLOR_HardSurface1 ; A9
N055.35.44.696 E012.36.31.600 N055.35.44.737 E012.36.31.920 COLOR_HardSurface1 ; A9
N055.35.44.737 E012.36.31.920 N055.35.44.819 E012.36.32.325 COLOR_HardSurface1 ; A9
N055.35.44.819 E012.36.32.325 N055.35.44.943 E012.36.32.665 COLOR_HardSurface1 ; A9
N055.35.44.943 E012.36.32.665 N055.35.45.039 E012.36.32.871 COLOR_HardSurface1 ; A9
N055.35.45.039 E012.36.32.871 N055.35.45.108 E012.36.33.004 COLOR_HardSurface1 ; A9
N055.35.45.108 E012.36.33.004 N055.35.46.096 E012.36.34.519 COLOR_HardSurface1 ; A9
;
;
N055.35.47.319 E012.36.27.429 N055.35.47.181 E012.36.27.158 COLOR_HardSurface1 ; A10 + A12
N055.35.47.181 E012.36.27.158 N055.35.47.099 E012.36.26.921 COLOR_HardSurface1 ; A10 + A12
N055.35.47.099 E012.36.26.921 N055.35.47.003 E012.36.26.653 COLOR_HardSurface1 ; A10 + A12
N055.35.47.003 E012.36.26.653 N055.35.46.975 E012.36.26.529 COLOR_HardSurface1 ; A10 + A12
N055.35.46.975 E012.36.26.529 N055.35.46.948 E012.36.26.385 COLOR_HardSurface1 ; A10 + A12
N055.35.46.948 E012.36.26.385 N055.35.46.907 E012.36.26.100 COLOR_HardSurface1 ; A10 + A12
N055.35.46.907 E012.36.26.100 N055.35.46.879 E012.36.25.410 COLOR_HardSurface1 ; A10 + A12
N055.35.46.879 E012.36.25.410 N055.35.46.495 E012.36.15.478 COLOR_HardSurface1 ; A10 + A12
N055.35.46.495 E012.36.15.478 N055.35.46.453 E012.36.15.162 COLOR_HardSurface1 ; A10 + A12
N055.35.46.453 E012.36.15.162 N055.35.46.398 E012.36.14.918 COLOR_HardSurface1 ; A10 + A12
N055.35.46.398 E012.36.14.918 N055.35.46.330 E012.36.14.664 COLOR_HardSurface1 ; A10 + A12
N055.35.46.330 E012.36.14.664 N055.35.46.247 E012.36.14.458 COLOR_HardSurface1 ; A10 + A12
N055.35.46.247 E012.36.14.458 N055.35.46.151 E012.36.14.259 COLOR_HardSurface1 ; A10 + A12
N055.35.46.151 E012.36.14.259 N055.35.46.055 E012.36.14.077 COLOR_HardSurface1 ; A10 + A12
N055.35.46.055 E012.36.14.077 N055.35.40.658 E012.36.05.748 COLOR_HardSurface1 ; A10 + A12
N055.35.40.658 E012.36.05.748 N055.35.40.411 E012.36.05.446 COLOR_HardSurface1 ; A10 + A12
N055.35.40.411 E012.36.05.446 N055.35.40.177 E012.36.05.295 COLOR_HardSurface1 ; A10 + A12
N055.35.40.177 E012.36.05.295 N055.35.39.944 E012.36.05.219 COLOR_HardSurface1 ; A10 + A12
N055.35.39.944 E012.36.05.219 N055.35.39.710 E012.36.05.213 COLOR_HardSurface1 ; A10 + A12
N055.35.39.710 E012.36.05.213 N055.35.36.387 E012.36.05.621 COLOR_HardSurface1 ; A10 + A12
N055.35.36.387 E012.36.05.621 N055.35.36.167 E012.36.05.690 COLOR_HardSurface1 ; A10 + A12
N055.35.36.167 E012.36.05.690 N055.35.35.989 E012.36.05.820 COLOR_HardSurface1 ; A10 + A12
N055.35.35.989 E012.36.05.820 N055.35.35.810 E012.36.05.999 COLOR_HardSurface1 ; A10 + A12
N055.35.35.810 E012.36.05.999 N055.35.35.604 E012.36.06.308 COLOR_HardSurface1 ; A10 + A12
N055.35.35.604 E012.36.06.308 N055.35.33.819 E012.36.09.902 COLOR_HardSurface1 ; A10 + A12
;
;
N055.37.07.532 E012.38.26.672 N055.37.07.285 E012.38.26.490 COLOR_HardSurface1 ; A > A1
N055.37.07.285 E012.38.26.490 N055.37.07.052 E012.38.26.418 COLOR_HardSurface1 ; A > A1
N055.37.07.052 E012.38.26.418 N055.37.06.832 E012.38.26.404 COLOR_HardSurface1 ; A > A1
;
;
N055.37.25.880 E012.38.43.275 N055.37.25.976 E012.38.42.986 COLOR_HardSurface1 ; A > 12
N055.37.25.976 E012.38.42.986 N055.37.26.058 E012.38.42.616 COLOR_HardSurface1 ; A > 12
N055.37.26.058 E012.38.42.616 N055.37.26.099 E012.38.42.217 COLOR_HardSurface1 ; A > 12
N055.37.26.099 E012.38.42.217 N055.37.26.113 E012.38.41.795 COLOR_HardSurface1 ; A > 12
N055.37.26.113 E012.38.41.795 N055.37.26.072 E012.38.41.390 COLOR_HardSurface1 ; A > 12
N055.37.26.072 E012.38.41.390 N055.37.25.989 E012.38.40.999 COLOR_HardSurface1 ; A > 12
N055.37.25.989 E012.38.40.999 N055.37.25.880 E012.38.40.642 COLOR_HardSurface1 ; A > 12
N055.37.25.880 E012.38.40.642 N055.37.25.729 E012.38.40.326 COLOR_HardSurface1 ; A > 12
N055.37.25.729 E012.38.40.326 N055.37.25.550 E012.38.40.068 COLOR_HardSurface1 ; A > 12
N055.37.25.550 E012.38.40.068 N055.37.25.385 E012.38.39.910 COLOR_HardSurface1 ; A > 12
N055.37.25.385 E012.38.39.910 N055.37.25.097 E012.38.39.728 COLOR_HardSurface1 ; A > 12
N055.37.25.097 E012.38.39.728 N055.37.24.877 E012.38.39.618 COLOR_HardSurface1 ; A > 12
N055.37.24.877 E012.38.39.618 N055.37.24.630 E012.38.39.512 COLOR_HardSurface1 ; A > 12
N055.37.24.630 E012.38.39.512 N055.37.24.369 E012.38.39.419 COLOR_HardSurface1 ; A > 12
N055.37.24.369 E012.38.39.419 N055.37.24.136 E012.38.39.347 COLOR_HardSurface1 ; A > 12
N055.37.24.136 E012.38.39.347 N055.37.23.751 E012.38.39.265 COLOR_HardSurface1 ; A > 12
N055.37.23.751 E012.38.39.265 N055.37.23.270 E012.38.39.244 COLOR_HardSurface1 ; A > 12
N055.37.23.270 E012.38.39.244 N055.37.22.790 E012.38.39.279 COLOR_HardSurface1 ; A > 12
N055.37.22.790 E012.38.39.279 N055.37.22.323 E012.38.39.395 COLOR_HardSurface1 ; A > 12
N055.37.22.323 E012.38.39.395 N055.37.21.870 E012.38.39.567 COLOR_HardSurface1 ; A > 12
N055.37.21.870 E012.38.39.567 N055.37.21.210 E012.38.39.938 COLOR_HardSurface1 ; A > 12
N055.37.21.210 E012.38.39.938 N055.37.20.551 E012.38.40.463 COLOR_HardSurface1 ; A > 12
N055.37.20.551 E012.38.40.463 N055.37.20.057 E012.38.40.988 COLOR_HardSurface1 ; A > 12
N055.37.20.057 E012.38.40.988 N055.37.19.576 E012.38.41.661 COLOR_HardSurface1 ; A > 12
N055.37.19.576 E012.38.41.661 N055.37.19.027 E012.38.42.605 COLOR_HardSurface1 ; A > 12
N055.37.19.027 E012.38.42.605 N055.37.18.725 E012.38.43.179 COLOR_HardSurface1 ; A > 12
N055.37.18.725 E012.38.43.179 N055.37.18.505 E012.38.43.718 COLOR_HardSurface1 ; A > 12
N055.37.18.505 E012.38.43.718 N055.37.17.915 E012.38.45.331 COLOR_HardSurface1 ; A > 12
;
;
N055.37.09.208 E012.38.24.595 N055.37.09.043 E012.38.25.189 COLOR_HardSurface1 ; DeIce A (S) > A (N)
N055.37.09.043 E012.38.25.189 N055.37.08.974 E012.38.25.741 COLOR_HardSurface1 ; DeIce A (S) > A (N)
N055.37.08.974 E012.38.25.741 N055.37.08.974 E012.38.26.318 COLOR_HardSurface1 ; DeIce A (S) > A (N)
N055.37.08.974 E012.38.26.318 N055.37.09.029 E012.38.26.802 COLOR_HardSurface1 ; DeIce A (S) > A (N)
N055.37.09.029 E012.38.26.802 N055.37.09.057 E012.38.27.032 COLOR_HardSurface1 ; DeIce A (S) > A (N)
N055.37.09.057 E012.38.27.032 N055.37.09.139 E012.38.27.341 COLOR_HardSurface1 ; DeIce A (S) > A (N)
N055.37.09.139 E012.38.27.341 N055.37.09.263 E012.38.27.705 COLOR_HardSurface1 ; DeIce A (S) > A (N)
N055.37.09.263 E012.38.27.705 N055.37.09.414 E012.38.28.031 COLOR_HardSurface1 ; DeIce A (S) > A (N)
N055.37.09.414 E012.38.28.031 N055.37.09.606 E012.38.28.347 COLOR_HardSurface1 ; DeIce A (S) > A (N)
N055.37.09.606 E012.38.28.347 N055.37.09.881 E012.38.28.625 COLOR_HardSurface1 ; DeIce A (S) > A (N)
;
;
N055.37.12.847 E012.38.31.132 N055.37.13.039 E012.38.31.269 COLOR_HardSurface1 ; A (N) - DeIce3
N055.37.13.039 E012.38.31.269 N055.37.13.300 E012.38.31.338 COLOR_HardSurface1 ; A (N) - DeIce3
N055.37.13.300 E012.38.31.338 N055.37.13.534 E012.38.31.334 COLOR_HardSurface1 ; A (N) - DeIce3
N055.37.13.534 E012.38.31.334 N055.37.13.740 E012.38.31.259 COLOR_HardSurface1 ; A (N) - DeIce3
N055.37.13.740 E012.38.31.259 N055.37.13.987 E012.38.31.090 COLOR_HardSurface1 ; A (N) - DeIce3
N055.37.13.987 E012.38.31.090 N055.37.14.220 E012.38.30.805 COLOR_HardSurface1 ; A (N) - DeIce3
N055.37.14.220 E012.38.30.805 N055.37.14.344 E012.38.30.582 COLOR_HardSurface1 ; A (N) - DeIce3
N055.37.14.344 E012.38.30.582 N055.37.14.536 E012.38.30.143 COLOR_HardSurface1 ; A (N) - DeIce3
N055.37.14.536 E012.38.30.143 N055.37.15.099 E012.38.28.594 COLOR_HardSurface1 ; A (N) - DeIce3
N055.37.15.099 E012.38.28.594 N055.37.15.649 E012.38.27.115 COLOR_HardSurface1 ; A (N) - DeIce3
N055.37.15.649 E012.38.27.115 N055.37.15.745 E012.38.26.789 COLOR_HardSurface1 ; A (N) - DeIce3
N055.37.15.745 E012.38.26.789 N055.37.15.800 E012.38.26.387 COLOR_HardSurface1 ; A (N) - DeIce3
N055.37.15.800 E012.38.26.387 N055.37.15.827 E012.38.26.023 COLOR_HardSurface1 ; A (N) - DeIce3
N055.37.15.827 E012.38.26.023 N055.37.15.827 E012.38.25.731 COLOR_HardSurface1 ; A (N) - DeIce3
N055.37.15.827 E012.38.25.731 N055.37.15.786 E012.38.25.367 COLOR_HardSurface1 ; A (N) - DeIce3
N055.37.15.786 E012.38.25.367 N055.37.15.731 E012.38.25.051 COLOR_HardSurface1 ; A (N) - DeIce3
N055.37.15.731 E012.38.25.051 N055.37.15.649 E012.38.24.787 COLOR_HardSurface1 ; A (N) - DeIce3
N055.37.15.649 E012.38.24.787 N055.37.15.566 E012.38.24.567 COLOR_HardSurface1 ; A (N) - DeIce3
N055.37.15.566 E012.38.24.567 N055.37.15.470 E012.38.24.375 COLOR_HardSurface1 ; A (N) - DeIce3
N055.37.15.470 E012.38.24.375 N055.37.15.346 E012.38.24.176 COLOR_HardSurface1 ; A (N) - DeIce3
N055.37.15.346 E012.38.24.176 N055.37.15.223 E012.38.24.011 COLOR_HardSurface1 ; A (N) - DeIce3
N055.37.15.223 E012.38.24.011 N055.37.15.044 E012.38.23.798 COLOR_HardSurface1 ; A (N) - DeIce3
N055.37.15.044 E012.38.23.798 N055.37.14.756 E012.38.23.482 COLOR_HardSurface1 ; A (N) - DeIce3
N055.37.14.756 E012.38.23.482 N055.37.12.723 E012.38.21.127 COLOR_HardSurface1 ; A (N) - DeIce3
N055.37.12.723 E012.38.21.127 N055.37.12.449 E012.38.20.808 COLOR_HardSurface1 ; A (N) - DeIce3
N055.37.12.449 E012.38.20.808 N055.37.12.188 E012.38.20.513 COLOR_HardSurface1 ; A (N) - DeIce3
N055.37.12.188 E012.38.20.513 N055.37.11.996 E012.38.20.351 COLOR_HardSurface1 ; A (N) - DeIce3
N055.37.11.996 E012.38.20.351 N055.37.11.762 E012.38.20.231 COLOR_HardSurface1 ; A (N) - DeIce3
N055.37.11.762 E012.38.20.231 N055.37.11.542 E012.38.20.200 COLOR_HardSurface1 ; A (N) - DeIce3
N055.37.11.542 E012.38.20.200 N055.37.11.323 E012.38.20.221 COLOR_HardSurface1 ; A (N) - DeIce3
N055.37.11.323 E012.38.20.221 N055.37.11.103 E012.38.20.324 COLOR_HardSurface1 ; A (N) - DeIce3
N055.37.11.103 E012.38.20.324 N055.37.10.911 E012.38.20.478 COLOR_HardSurface1 ; A (N) - DeIce3
N055.37.10.911 E012.38.20.478 N055.37.10.705 E012.38.20.725 COLOR_HardSurface1 ; A (N) - DeIce3
N055.37.10.705 E012.38.20.725 N055.37.10.526 E012.38.21.052 COLOR_HardSurface1 ; A (N) - DeIce3
N055.37.10.526 E012.38.21.052 N055.37.10.403 E012.38.21.330 COLOR_HardSurface1 ; A (N) - DeIce3
N055.37.10.403 E012.38.21.330 N055.37.09.908 E012.38.22.682 COLOR_HardSurface1 ; A (N) - DeIce3
;
;
N055.37.15.086 E012.38.28.629 N055.37.15.154 E012.38.28.406 COLOR_HardSurface1 ; A (S) - DeIce2
N055.37.15.154 E012.38.28.406 N055.37.15.237 E012.38.28.066 COLOR_HardSurface1 ; A (S) - DeIce2
N055.37.15.237 E012.38.28.066 N055.37.15.278 E012.38.27.661 COLOR_HardSurface1 ; A (S) - DeIce2
N055.37.15.278 E012.38.27.661 N055.37.15.278 E012.38.27.115 COLOR_HardSurface1 ; A (S) - DeIce2
N055.37.15.278 E012.38.27.115 N055.37.15.223 E012.38.26.689 COLOR_HardSurface1 ; A (S) - DeIce2
N055.37.15.223 E012.38.26.689 N055.37.15.127 E012.38.26.287 COLOR_HardSurface1 ; A (S) - DeIce2
N055.37.15.127 E012.38.26.287 N055.37.14.976 E012.38.25.913 COLOR_HardSurface1 ; A (S) - DeIce2
N055.37.14.976 E012.38.25.913 N055.37.14.825 E012.38.25.645 COLOR_HardSurface1 ; A (S) - DeIce2
N055.37.14.825 E012.38.25.645 N055.37.14.619 E012.38.25.398 COLOR_HardSurface1 ; A (S) - DeIce2
N055.37.14.619 E012.38.25.398 N055.37.14.220 E012.38.24.945 COLOR_HardSurface1 ; A (S) - DeIce2
N055.37.14.220 E012.38.24.945 N055.37.12.188 E012.38.22.586 COLOR_HardSurface1 ; A (S) - DeIce2
N055.37.12.188 E012.38.22.586 N055.37.11.707 E012.38.22.040 COLOR_HardSurface1 ; A (S) - DeIce2
N055.37.11.707 E012.38.22.040 N055.37.11.584 E012.38.21.906 COLOR_HardSurface1 ; A (S) - DeIce2
N055.37.11.584 E012.38.21.906 N055.37.11.350 E012.38.21.749 COLOR_HardSurface1 ; A (S) - DeIce2
N055.37.11.350 E012.38.21.749 N055.37.11.103 E012.38.21.656 COLOR_HardSurface1 ; A (S) - DeIce2
N055.37.11.103 E012.38.21.656 N055.37.10.883 E012.38.21.656 COLOR_HardSurface1 ; A (S) - DeIce2
N055.37.10.883 E012.38.21.656 N055.37.10.609 E012.38.21.749 COLOR_HardSurface1 ; A (S) - DeIce2
N055.37.10.609 E012.38.21.749 N055.37.10.389 E012.38.21.913 COLOR_HardSurface1 ; A (S) - DeIce2
N055.37.10.389 E012.38.21.913 N055.37.10.155 E012.38.22.198 COLOR_HardSurface1 ; A (S) - DeIce2
N055.37.10.155 E012.38.22.198 N055.37.10.004 E012.38.22.473 COLOR_HardSurface1 ; A (S) - DeIce2
N055.37.10.004 E012.38.22.473 N055.37.09.908 E012.38.22.682 COLOR_HardSurface1 ; A (S) - DeIce2
N055.37.09.908 E012.38.22.682 N055.37.09.496 E012.38.23.802 COLOR_HardSurface1 ; A (S) - DeIce2
N055.37.09.496 E012.38.23.802 N055.37.09.414 E012.38.24.028 COLOR_HardSurface1 ; A (S) - DeIce2
N055.37.09.414 E012.38.24.028 N055.37.09.208 E012.38.24.595 COLOR_HardSurface1 ; A (S) - DeIce2
N055.37.09.208 E012.38.24.595 N055.37.09.071 E012.38.24.976 COLOR_HardSurface1 ; A (S) - DeIce2
N055.37.09.071 E012.38.24.976 N055.37.08.906 E012.38.25.340 COLOR_HardSurface1 ; A (S) - DeIce2
N055.37.08.906 E012.38.25.340 N055.37.08.713 E012.38.25.652 COLOR_HardSurface1 ; A (S) - DeIce2
N055.37.08.713 E012.38.25.652 N055.37.08.549 E012.38.25.862 COLOR_HardSurface1 ; A (S) - DeIce2
N055.37.08.549 E012.38.25.862 N055.37.08.384 E012.38.26.009 COLOR_HardSurface1 ; A (S) - DeIce2
N055.37.08.384 E012.38.26.009 N055.37.08.178 E012.38.26.150 COLOR_HardSurface1 ; A (S) - DeIce2
N055.37.08.178 E012.38.26.150 N055.37.07.944 E012.38.26.243 COLOR_HardSurface1 ; A (S) - DeIce2
N055.37.07.944 E012.38.26.243 N055.37.07.697 E012.38.26.277 COLOR_HardSurface1 ; A (S) - DeIce2
N055.37.07.697 E012.38.26.277 N055.37.07.505 E012.38.26.246 COLOR_HardSurface1 ; A (S) - DeIce2
N055.37.07.505 E012.38.26.246 N055.37.07.244 E012.38.26.160 COLOR_HardSurface1 ; A (S) - DeIce2
N055.37.07.244 E012.38.26.160 N055.37.06.983 E012.38.25.971 COLOR_HardSurface1 ; A (S) - DeIce2
N055.37.06.983 E012.38.25.971 N055.37.06.708 E012.38.25.656 COLOR_HardSurface1 ; A (S) - DeIce2
;
;
N055.37.09.414 E012.38.24.021 N055.37.09.524 E012.38.23.822 COLOR_HardSurface1 ; A (N) - DeIce1
N055.37.09.524 E012.38.23.822 N055.37.09.661 E012.38.23.585 COLOR_HardSurface1 ; A (N) - DeIce1
